doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
muon-tai-lieu-sinh-vien-dai-hoc,data/thu-vien/muon-tai-lieu-sinh-vien-dai-hoc.md,Han muc muon tai lieu - Sinh vien dai hoc,https://library.vinuni.edu.vn/borrowing-priviledge/,2026-09-19,not-stated,public-source
muon-tai-lieu-hoc-vien-sau-dai-hoc,data/thu-vien/muon-tai-lieu-hoc-vien-sau-dai-hoc.md,Han muc muon tai lieu - Hoc vien sau dai hoc,https://library.vinuni.edu.vn/borrowing-priviledge/,2026-09-19,not-stated,public-source
dat-phong-hoc-nhom,data/thu-vien/dat-phong-hoc-nhom.md,Quy dinh dat phong hoc nhom trong thu vien,https://library.vinuni.edu.vn/room-booking/,2026-09-19,not-stated,public-source
muon-tai-lieu-giang-vien,data/thu-vien/muon-tai-lieu-giang-vien.md,Han muc muon tai lieu - Giang vien VinUni,https://policy.vinuni.edu.vn/all-policies/library-policies-for-users/,2026-09-19,POL-LLR-001-V4.0,public-source
muon-tai-lieu-nhan-vien-va-giang-vien-lien-ket,data/thu-vien/muon-tai-lieu-nhan-vien-va-giang-vien-lien-ket.md,Han muc muon tai lieu - Nhan vien va giang vien lien ket,https://policy.vinuni.edu.vn/all-policies/library-policies-for-users/,2026-09-19,POL-LLR-001-V4.0,public-source
doi-tuong-khong-duoc-muon,data/thu-vien/doi-tuong-khong-duoc-muon.md,Doi tuong khong duoc muon tai lieu,https://policy.vinuni.edu.vn/all-policies/library-policies-for-users/,2026-09-19,POL-LLR-001-V4.0,public-source
phan-loai-tai-lieu-duoc-muon,data/thu-vien/phan-loai-tai-lieu-duoc-muon.md,Phan loai tai lieu duoc muon va khong duoc muon,https://library.vinuni.edu.vn/borrowing-priviledge/,2026-09-19,not-stated,public-source
phi-phat-qua-han,data/thu-vien/phi-phat-qua-han.md,Phi phat qua han va den bu tai lieu,https://library.vinuni.edu.vn/faq/,2026-09-19,not-stated,public-source
gio-mo-cua-va-quyen-ra-vao,data/thu-vien/gio-mo-cua-va-quyen-ra-vao.md,Gio mo cua va quyen ra vao thu vien,https://library.vinuni.edu.vn/about-us/hours-and-access/,2026-09-19,not-stated,public-source
quy-dinh-chung-va-an-toan,data/thu-vien/quy-dinh-chung-va-an-toan.md,"Quy dinh chung, ra vao va an toan trong thu vien",https://policy.vinuni.edu.vn/all-policies/library-policies-for-users/,2026-09-19,POL-LLR-001-V4.0,public-source
